Ticker,FullCode,Symbol,Signal,Probability,Start,End
095570,KR7095570008,AJ네트웍스,buy,0.904,2022-11-21,2022-11-28
006840,KR7006840003,AK홀딩스,hold,0.0,,
027410,KR7027410000,BGF,buy,0.604,2022-11-16,2022-11-28
282330,KR7282330000,BGF리테일,sell,0.914,2022-11-22,2022-11-28
138930,KR7138930003,BNK금융지주,hold,0.0,,
001460,KR7001460005,BYC,hold,0.0,,
001465,KR7001461003,BYC우,hold,0.0,,
001040,KR7001040005,CJ,buy,0.824,2022-11-16,2022-11-28
079160,KR7079160008,CJ CGV,sell,0.805,2022-11-23,2022-11-28
00104K,KR700104K010,CJ4우(전환),hold,0.0,,
000120,KR7000120006,CJ대한통운,hold,0.0,,
011150,KR7011150000,CJ씨푸드,hold,0.0,,
011155,KR7011151008,CJ씨푸드1우,hold,0.0,,
001045,KR7001041003,CJ우,hold,0.0,,
097950,KR7097950000,CJ제일제당,buy,0.707,2022-11-21,2022-11-28
097955,KR7097951008,CJ제일제당 우,hold,0.0,,
000590,KR7000590000,CS홀딩스,hold,0.0,,
012030,KR7012030003,DB,hold,0.0,,
016610,KR7016610008,DB금융투자,hold,0.0,,
005830,KR7005830005,DB손해보험,hold,0.0,,
000990,KR7000990002,DB하이텍,buy,0.845,2022-11-18,2022-11-28
000995,KR7000991000,DB하이텍1우,buy,0.84,2022-11-16,2022-11-28
139130,KR7139130009,DGB금융지주,hold,0.0,,
001530,KR7001530005,DI동일,buy,0.84,2022-11-14,2022-11-28
000210,KR7000210005,DL,hold,0.0,,
001880,KR7001880004,DL건설,hold,0.0,,
000215,KR7000211003,DL우,hold,0.0,,
375500,KR7375500006,DL이앤씨,hold,0.0,,
37550K,KR737550K011,DL이앤씨우,hold,0.0,,
007340,KR7007340003,DN오토모티브,hold,0.0,,
004840,KR7004840005,DRB동일,hold,0.0,,
155660,KR7155660004,DSR,hold,0.0,,
069730,KR7069730000,DSR제강,hold,0.0,,
017940,KR7017940008,E1,hold,0.0,,
365550,KR7365550003,ESR켄달스퀘어리츠,hold,0.0,,
383220,KR7383220001,F&F,buy,0.954,2022-11-18,2022-11-28
007700,KR7007700008,F&F홀딩스,hold,0.0,,
114090,KR7114090004,GKL,hold,0.0,,
078930,KR7078930005,GS,hold,0.0,,
006360,KR7006360002,GS건설,hold,0.0,,
001250,KR7001250000,GS글로벌,hold,0.0,,
007070,KR7007070006,GS리테일,sell,0.912,2022-11-21,2022-11-28
078935,KR7078931003,GS우,sell,0.667,2022-11-03,2022-11-28
012630,KR7012630000,HDC,buy,0.862,2022-11-17,2022-11-28
039570,KR7039570007,HDC랩스,hold,0.0,,
089470,KR7089470009,HDC현대EP,hold,0.0,,
294870,KR7294870001,HDC현대산업개발,hold,0.0,,
267250,KR7267250009,HD현대,hold,0.0,,
097230,KR7097230007,HJ중공업,buy,0.863,2022-11-21,2022-11-28
014790,KR7014790000,HL D&I,hold,0.0,,
003580,KR7003580008,HLB글로벌,hold,0.0,,
204320,KR7204320006,HL만도,hold,0.0,,
060980,KR7060980000,HL홀딩스,hold,0.0,,
011200,KR7011200003,HMM,hold,0.0,,
082740,KR7082740002,HSD엔진,hold,0.0,,
003560,KR7003560000,IHQ,hold,0.0,,
175330,KR7175330000,JB금융지주,sell,0.651,2022-11-22,2022-11-28
234080,KR7234080000,JW생명과학,hold,0.0,,
001060,KR7001060003,JW중외제약,buy,0.918,2022-11-18,2022-11-28
001067,KR7001062009,JW중외제약2우B,hold,0.0,,
001065,KR7001061001,JW중외제약우,hold,0.0,,
096760,KR7096760004,JW홀딩스,hold,0.0,,
105560,KR7105560007,KB금융,sell,0.654,2022-11-17,2022-11-28
002380,KR7002380004,KCC,buy,0.927,2022-11-21,2022-11-28
344820,KR7344820006,KCC글라스,buy,0.916,2022-11-18,2022-11-28
009070,KR7009070004,KCTC,sell,0.737,2022-11-21,2022-11-28
009440,KR7009440009,KC그린홀딩스,hold,0.0,,
119650,KR7119650000,KC코트렐,hold,0.0,,
092220,KR7092220003,KEC,hold,0.0,,
016380,KR7016380008,KG스틸,buy,0.726,2022-11-16,2022-11-28
001390,KR7001390004,KG케미칼,hold,0.0,,
033180,KR7033180001,KH 필룩스,hold,0.0,,
001940,KR7001940006,KISCO홀딩스,sell,0.898,2022-11-22,2022-11-28
025000,KR7025000001,KPX케미칼,hold,0.0,,
092230,KR7092230002,KPX홀딩스,hold,0.0,,
000040,KR7000040006,KR모터스,sell,0.706,2022-11-23,2022-11-28
044450,KR7044450005,KSS해운,buy,0.628,2022-11-17,2022-11-28
030200,KR7030200000,KT,hold,0.0,,
033780,KR7033780008,KT&G,hold,0.0,,
058850,KR7058850009,KTcs,hold,0.0,,
058860,KR7058860008,KTis,hold,0.0,,
093050,KR7093050003,LF,hold,0.0,,
003550,KR7003550001,LG,hold,0.0,,
034220,KR7034220004,LG디스플레이,hold,0.0,,
051900,KR7051900009,LG생활건강,buy,0.858,2022-11-18,2022-11-28
051905,KR7051901007,LG생활건강우,buy,0.624,2022-11-24,2022-11-28
003555,KR7003551009,LG우,hold,0.0,,
032640,KR7032640005,LG유플러스,hold,0.0,,
011070,KR7011070000,LG이노텍,hold,0.0,,
066570,KR7066570003,LG전자,hold,0.0,,
066575,KR7066571001,LG전자우,hold,0.0,,
037560,KR7037560000,LG헬로비전,buy,0.774,2022-11-18,2022-11-28
051910,KR7051910008,LG화학,hold,0.0,,
051915,KR7051911006,LG화학우,hold,0.0,,
079550,KR7079550000,LIG넥스원,hold,0.0,,
006260,KR7006260004,LS,hold,0.0,,
010120,KR7010120004,LS ELECTRIC,hold,0.0,,
000680,KR7000680009,LS네트웍스,hold,0.0,,
229640,KR7229640008,LS전선아시아,hold,0.0,,
108320,KR7108320003,LX세미콘,buy,0.921,2022-11-18,2022-11-28
001120,KR7001120005,LX인터내셔널,hold,0.0,,
108670,KR7108670001,LX하우시스,hold,0.0,,
108675,KR7108671009,LX하우시스우,hold,0.0,,
383800,KR7383800000,LX홀딩스,hold,0.0,,
38380K,KR738380K012,LX홀딩스1우,hold,0.0,,
023150,KR7023150006,MH에탄올,buy,0.861,2022-11-17,2022-11-28
035420,KR7035420009,NAVER,hold,0.0,,
181710,KR7181710005,NHN,hold,0.0,,
400760,KR7400760005,NH올원리츠,hold,0.0,,
005940,KR7005940002,NH투자증권,hold,0.0,,
005945,KR7005941000,NH투자증권우,hold,0.0,,
338100,KR7338100001,NH프라임리츠,hold,0.0,,
034310,KR7034310003,NICE,buy,0.797,2022-11-16,2022-11-28
008260,KR7008260002,NI스틸,hold,0.0,,
004250,KR7004250007,NPC,hold,0.0,,
004255,KR7004251005,NPC우,hold,0.0,,
010060,KR7010060002,OCI,buy,0.918,2022-11-23,2022-11-28
178920,KR7178920005,PI첨단소재,hold,0.0,,
005490,KR7005490008,POSCO홀딩스,hold,0.0,,
010950,KR7010950004,S-Oil,buy,0.865,2022-11-09,2022-11-28
010955,KR7010951002,S-Oil우,buy,0.926,2022-11-18,2022-11-28
034120,KR7034120006,SBS,hold,0.0,,
005090,KR7005090006,SGC에너지,buy,0.835,2022-11-18,2022-11-28
001380,KR7001380005,SG글로벌,buy,0.784,2022-11-24,2022-11-28
004060,KR7004060000,SG세계물산,hold,0.0,,
001770,KR7001770007,SHD,hold,0.0,,
002360,KR7002360006,SH에너지화학,hold,0.0,,
009160,KR7009160003,SIMPAC,buy,0.895,2022-11-17,2022-11-28
123700,KR7123700007,SJM,hold,0.0,,
025530,KR7025530007,SJM홀딩스,hold,0.0,,
034730,KR7034730002,SK,hold,0.0,,
011790,KR7011790003,SKC,hold,0.0,,
018670,KR7018670000,SK가스,hold,0.0,,
001740,KR7001740000,SK네트웍스,hold,0.0,,
001745,KR7001741008,SK네트웍스우,hold,0.0,,
006120,KR7006120000,SK디스커버리,hold,0.0,,
006125,KR7006121008,SK디스커버리우,buy,0.886,2022-11-17,2022-11-28
210980,KR7210980009,SK디앤디,hold,0.0,,
068400,KR7068400001,SK렌터카,hold,0.0,,
395400,KR7395400005,SK리츠,buy,0.772,2022-11-14,2022-11-28
302440,KR7302440003,SK바이오사이언스,hold,0.0,,
326030,KR7326030004,SK바이오팜,hold,0.0,,
402340,KR7402340004,SK스퀘어,buy,0.879,2022-11-17,2022-11-28
361610,KR7361610009,SK아이이테크놀로지,sell,0.814,2022-11-23,2022-11-28
03473K,KR703473K016,SK우,hold,0.0,,
096770,KR7096770003,SK이노베이션,hold,0.0,,
096775,KR7096771001,SK이노베이션우,hold,0.0,,
001510,KR7001510007,SK증권,hold,0.0,,
001515,KR7001511005,SK증권우,hold,0.0,,
285130,KR7285130001,SK케미칼,hold,0.0,,
28513K,KR728513K010,SK케미칼우,buy,0.649,2022-11-18,2022-11-28
