Ticker,FullCode,Symbol,Signal,Probability,Start,End
095570,KR7095570008,AJ네트웍스,hold,0,6130,
006840,KR7006840003,AK홀딩스,hold,0,16500,
027410,KR7027410000,BGF,hold,0,4420,
282330,KR7282330000,BGF리테일,hold,0,195000,
138930,KR7138930003,BNK금융지주,hold,0,7390,
001460,KR7001460005,BYC,hold,0,373000,
001465,KR7001461003,BYC우,hold,0,143500,
001040,KR7001040005,CJ,hold,0,75600,
079160,KR7079160008,CJ CGV,hold,0,17550,
00104K,KR700104K010,CJ4우(전환),hold,0,68600,
000120,KR7000120006,CJ대한통운,hold,0,88000,
011150,KR7011150000,CJ씨푸드,hold,0,2780,
011155,KR7011151008,CJ씨푸드1우,hold,0,25950,
001045,KR7001041003,CJ우,hold,0,49400,
097950,KR7097950000,CJ제일제당,hold,0,380500,
097955,KR7097951008,CJ제일제당 우,hold,0,169000,
000590,KR7000590000,CS홀딩스,hold,0,62800,
012030,KR7012030003,DB,hold,0,835,
016610,KR7016610008,DB금융투자,hold,0,4620,
005830,KR7005830005,DB손해보험,hold,0,61100,
000990,KR7000990002,DB하이텍,hold,0,44450,
000995,KR7000991000,DB하이텍1우,hold,0,96000,
139130,KR7139130009,DGB금융지주,hold,0,7930,
001530,KR7001530005,DI동일,hold,0,17328,
000210,KR7000210005,DL,hold,0,67400,
001880,KR7001880004,DL건설,hold,0,15900,
000215,KR7000211003,DL우,hold,0,37400,
375500,KR7375500006,DL이앤씨,hold,0,40350,
37550K,KR737550K011,DL이앤씨우,hold,0,26450,
007340,KR7007340003,DN오토모티브,hold,0,74100,
004840,KR7004840005,DRB동일,hold,0,4485,
155660,KR7155660004,DSR,hold,0,6390,
069730,KR7069730000,DSR제강,hold,0,5640,
017940,KR7017940008,E1,hold,0,48650,
365550,KR7365550003,ESR켄달스퀘어리츠,hold,0,3980,
383220,KR7383220001,F&F,hold,0,150500,
007700,KR7007700008,F&F홀딩스,hold,0,26650,
114090,KR7114090004,GKL,hold,0,17350,
078930,KR7078930005,GS,hold,0,47550,
006360,KR7006360002,GS건설,hold,0,23800,
001250,KR7001250000,GS글로벌,hold,0,2645,
007070,KR7007070006,GS리테일,hold,0,29150,
078935,KR7078931003,GS우,hold,0,36400,
012630,KR7012630000,HDC,hold,0,5900,
039570,KR7039570007,HDC랩스,hold,0,7930,
089470,KR7089470009,HDC현대EP,hold,0,4190,
294870,KR7294870001,HDC현대산업개발,hold,0,11300,
267250,KR7267250009,HD현대,hold,0,63600,
097230,KR7097230007,HJ중공업,hold,0,4290,
014790,KR7014790000,HL D&I,hold,0,3140,
003580,KR7003580008,HLB글로벌,hold,0,6690,
204320,KR7204320006,HL만도,hold,0,47650,
060980,KR7060980000,HL홀딩스,hold,0,34350,
011200,KR7011200003,HMM,hold,0,21400,
082740,KR7082740002,HSD엔진,hold,0,7240,
003560,KR7003560000,IHQ,hold,0,520,
175330,KR7175330000,JB금융지주,hold,0,8390,
234080,KR7234080000,JW생명과학,hold,0,12500,
001060,KR7001060003,JW중외제약,hold,0,19650,
001067,KR7001062009,JW중외제약2우B,hold,0,63900,
001065,KR7001061001,JW중외제약우,hold,0,34950,
096760,KR7096760004,JW홀딩스,hold,0,3065,
105560,KR7105560007,KB금융,hold,0,52400,
002380,KR7002380004,KCC,hold,0,236000,
344820,KR7344820006,KCC글라스,hold,0,40550,
009070,KR7009070004,KCTC,hold,0,5030,
009440,KR7009440009,KC그린홀딩스,hold,0,3230,
119650,KR7119650000,KC코트렐,hold,0,2510,
092220,KR7092220003,KEC,hold,0,2430,
016380,KR7016380008,KG스틸,hold,0,8900,
001390,KR7001390004,KG케미칼,hold,0,24000,
033180,KR7033180001,KH 필룩스,hold,0,1220,
001940,KR7001940006,KISCO홀딩스,hold,0,16600,
025000,KR7025000001,KPX케미칼,hold,0,50500,
092230,KR7092230002,KPX홀딩스,hold,0,54800,
000040,KR7000040006,KR모터스,hold,0,588,
044450,KR7044450005,KSS해운,hold,0,9670,
030200,KR7030200000,KT,hold,0,37450,
033780,KR7033780008,KT&G,hold,0,97300,
058850,KR7058850009,KTcs,hold,0,2300,
058860,KR7058860008,KTis,hold,0,2605,
093050,KR7093050003,LF,hold,0,16700,
003550,KR7003550001,LG,hold,0,82600,
034220,KR7034220004,LG디스플레이,hold,0,14500,
051900,KR7051900009,LG생활건강,hold,0,670000,
051905,KR7051901007,LG생활건강우,hold,0,291500,
003555,KR7003551009,LG우,hold,0,62300,
032640,KR7032640005,LG유플러스,hold,0,12050,
011070,KR7011070000,LG이노텍,hold,0,309500,
066570,KR7066570003,LG전자,hold,0,96600,
066575,KR7066571001,LG전자우,hold,0,45950,
037560,KR7037560000,LG헬로비전,hold,0,5240,
051910,KR7051910008,LG화학,hold,0,711000,
051915,KR7051911006,LG화학우,hold,0,317500,
079550,KR7079550000,LIG넥스원,hold,0,91800,
006260,KR7006260004,LS,hold,0,71500,
010120,KR7010120004,LS ELECTRIC,hold,0,55500,
000680,KR7000680009,LS네트웍스,hold,0,2585,
229640,KR7229640008,LS전선아시아,hold,0,7900,
108320,KR7108320003,LX세미콘,hold,0,88700,
001120,KR7001120005,LX인터내셔널,hold,0,41250,
108670,KR7108670001,LX하우시스,hold,0,36400,
108675,KR7108671009,LX하우시스우,hold,0,17400,
383800,KR7383800000,LX홀딩스,hold,0,9560,
38380K,KR738380K012,LX홀딩스1우,hold,0,12000,
023150,KR7023150006,MH에탄올,hold,0,8140,
035420,KR7035420009,NAVER,hold,0,185500,
181710,KR7181710005,NHN,hold,0,24850,
400760,KR7400760005,NH올원리츠,hold,0,3205,
005940,KR7005940002,NH투자증권,hold,0,9600,
005945,KR7005941000,NH투자증권우,hold,0,9590,
338100,KR7338100001,NH프라임리츠,hold,0,4070,
034310,KR7034310003,NICE,hold,0,12700,
008260,KR7008260002,NI스틸,hold,0,4815,
004250,KR7004250007,NPC,hold,0,7120,
004255,KR7004251005,NPC우,hold,0,3710,
010060,KR7010060002,OCI,hold,0,93800,
178920,KR7178920005,PI첨단소재,hold,0,32500,
005490,KR7005490008,POSCO홀딩스,hold,0,295000,
010950,KR7010950004,S-Oil,hold,0,86100,
010955,KR7010951002,S-Oil우,hold,0,58700,
034120,KR7034120006,SBS,hold,0,34900,
005090,KR7005090006,SGC에너지,hold,0,34350,
001380,KR7001380005,SG글로벌,hold,0,1785,
004060,KR7004060000,SG세계물산,hold,0,554,
001770,KR7001770007,SHD,hold,0,39350,
002360,KR7002360006,SH에너지화학,hold,0,955,
009160,KR7009160003,SIMPAC,hold,0,5820,
123700,KR7123700007,SJM,hold,0,4835,
025530,KR7025530007,SJM홀딩스,hold,0,4435,
034730,KR7034730002,SK,hold,0,211000,
011790,KR7011790003,SKC,hold,0,111000,
018670,KR7018670000,SK가스,hold,0,122500,
001740,KR7001740000,SK네트웍스,hold,0,4095,
001745,KR7001741008,SK네트웍스우,hold,0,49450,
006120,KR7006120000,SK디스커버리,hold,0,32600,
006125,KR7006121008,SK디스커버리우,hold,0,29300,
210980,KR7210980009,SK디앤디,hold,0,23000,
068400,KR7068400001,SK렌터카,hold,0,7100,
395400,KR7395400005,SK리츠,hold,0,4695,
302440,KR7302440003,SK바이오사이언스,hold,0,81800,
326030,KR7326030004,SK바이오팜,hold,0,72500,
402340,KR7402340004,SK스퀘어,hold,0,36900,
361610,KR7361610009,SK아이이테크놀로지,hold,0,64000,
03473K,KR703473K016,SK우,hold,0,180000,
096770,KR7096770003,SK이노베이션,hold,0,174000,
096775,KR7096771001,SK이노베이션우,hold,0,106000,
001510,KR7001510007,SK증권,hold,0,687,
001515,KR7001511005,SK증권우,hold,0,2800,
