Signal,Ticker,Probability,Close,Start,End
sell,050120,0.659,10150,20190130,20190207
buy,038340,0.704,2040,20210323,20210329
buy,051490,0.618,9500,20210917,20210930
buy,095660,0.769,22400,20210927,20210930
buy,131220,0.625,16100,20210128,20210205
buy,010170,0.604,2750,20230131,20230207
buy,141020,0.626,1331,20200309,20200311
buy,121800,0.665,15650,20220126,20220204
buy,042370,0.672,6070,20190227,20190311
sell,009620,0.622,1151,20230203,20230207
buy,050960,0.637,14000,20230203,20230207
buy,101390,0.657,6260,20230203,20230207
sell,031310,0.677,3450,20230130,20230207
