Signal,Ticker,Probability,Close,Start,End
buy,097955,0.645,157600.0,20230220,20230224
buy,003560,0.52,330.0,20230221,20230224
buy,030200,0.517,30450.0,20230222,20230224
buy,001140,0.53,653.0,20230221,20230224
sell,001570,0.602,39500.0,20230221,20230224
sell,016710,0.638,127700.0,20230221,20230224
buy,003090,0.547,17880.0,20230214,20230224
sell,004890,0.679,207000.0,20230215,20230224
sell,001080,0.528,44800.0,20230216,20230224
buy,005030,0.543,543.0,20230220,20230224
buy,068290,0.55,25750.0,20220510,20220513
buy,009470,0.539,25400.0,20220504,20220513
buy,001820,0.602,50600.0,20220510,20220513
buy,004415,0.578,3780.0,20220510,20220513
buy,012600,0.632,2490.0,20210325,20210330
buy,33637L,0.571,23140.0,20210322,20210330
sell,006880,0.525,5260.0,20210326,20210330
buy,009970,0.559,49800.0,20190807,20190813
buy,007310,0.514,609000.0,20190801,20190813
buy,088260,0.632,5190.0,20230213,20230223
buy,030000,0.633,20300.0,20230217,20230223
buy,001020,0.656,961.0,20200302,20200327
buy,069640,0.509,2690.0,20230215,20230224
