Signal,Ticker,Probability,Close,Start,End
buy,097955,0.65,156800.0,20230221,20230227
buy,007070,0.602,29350.0,20230221,20230227
sell,001940,0.622,21450.0,20230217,20230227
buy,030200,0.664,29950.0,20230223,20230227
sell,003550,0.615,82400.0,20230221,20230227
sell,066575,0.652,48550.0,20230213,20230227
buy,005940,0.652,9140.0,20230221,20230227
buy,034310,0.727,13210.0,20230221,20230227
buy,001380,0.666,1414.0,20230221,20230227
buy,034730,0.618,178300.0,20230221,20230227
buy,011790,0.625,91500.0,20230221,20230227
sell,001740,0.639,4080.0,20230222,20230227
buy,096770,0.648,151900.0,20230222,20230227
buy,096775,0.609,96300.0,20230221,20230227
buy,100840,0.614,19200.0,20230221,20230227
buy,035250,0.682,20300.0,20230221,20230227
buy,214390,0.642,6830.0,20230220,20230227
buy,083420,0.66,9080.0,20230221,20230227
sell,011780,0.645,162000.0,20230220,20230227
buy,001260,0.636,9810.0,20230221,20230227
buy,005250,0.708,15680.0,20230221,20230227
buy,019685,0.705,1980.0,20230217,20230227
buy,003220,0.685,15310.0,20230221,20230227
buy,023450,0.686,49100.0,20230221,20230227
buy,008970,0.633,1020.0,20230221,20230227
buy,023530,0.65,86700.0,20230221,20230227
buy,002760,0.725,1688.0,20230220,20230227
buy,005030,0.64,534.0,20230220,20230227
buy,003470,0.646,2785.0,20230221,20230227
buy,025820,0.618,3060.0,20230222,20230227
buy,014990,0.652,1135.0,20230221,20230227
sell,023810,0.609,9100.0,20230216,20230227
buy,007570,0.61,18510.0,20230221,20230227
buy,002620,0.667,12270.0,20230221,20230227
buy,006220,0.637,21300.0,20230220,20230227
buy,018470,0.683,2180.0,20230222,20230227
buy,063160,0.661,24150.0,20230221,20230227
buy,002787,0.626,13300.0,20230220,20230227
buy,015760,0.66,18160.0,20230214,20230227
buy,025890,0.688,3435.0,20230221,20230227
buy,011500,0.646,10300.0,20230221,20230227
buy,128940,0.747,259500.0,20230220,20230227
buy,009420,0.691,15450.0,20230221,20230227
buy,005387,0.649,92200.0,20230221,20230227
buy,008770,0.686,78600.0,20230221,20230227
sell,298000,0.676,147400.0,20230220,20230227
buy,005010,0.676,6470.0,20230222,20230227
